ԱԱԽ	ɑ ɑ χ ə
միացավ	m i j ɑ t͡sʰ ɑ v
միացել	m i j ɑ t͡sʰ e l
Միացյալ	m i j ɑ t͡sʰ j ɑ l
Միացյան	m i j ɑ t͡sʰ j ɑ n
միացնելու	m i j ɑ t͡sʰ n e l u
միացնում	m i j ɑ t͡sʰ n u m
միացությունները	m i j ɑ t͡sʰ u tʰ j u n n e ɾ ə
միացված	m i j ɑ t͡sʰ v ɑ t͡s
միգուցե	m i ɡ u t͡sʰ e
միգրացիայի	m i ɡ ɾ ɑ t͡sʰ j ɑ j i
միևնույն	m i j e v n u j n
միզամուղ	m i z ɑ m u ʁ
միզելու	m i z e l u
Միթ	m i tʰ
Միլերն	m i l e ɾ n
միլիարդ	m i l j ɑ ɾ d
միլիարդավոր	m i l j ɑ ɾ d ɑ v o ɾ
միլիոն	m i l j o n
միլիոնավոր	m i l j o n ɑ v o ɾ
միլիոնից	m i l j o n i t͡sʰ
միլիվայրկյան	m i l i v ɑ j ɾ k j ɑ n
Միլլերի	m i l l e ɾ i
միկրո	m i k ɾ o
միկրոալիքային	m i k ɾ o ɑ l i kʰ ɑ j i n
միկրոավտուբուս	m i k ɾ o ɑ f t u b u s
միկրոկլիմաների	m i k ɾ o k l i m ɑ n e ɾ i
միմյանց	m i m j ɑ n t͡sʰ
միմյանցից	m i m j ɑ n t͡sʰ i t͡sʰ
ՄԻՆԱԵ	m i n ɑ j e
Մինեապոլիսի	m i n e ɑ p o l i s i
Մինեսոտայի	m i n e s o t ɑ j i
մինիվեն	m i n i v e n
մինոսական	m i n o s ɑ k ɑ n
Մինչ	m i n t͡ʃʰ
մինչդեռ	m i n t͡ʃʰ d e r
մինչև	m i n t͡ʃʰ e v
Միշել	m i ʃ e l
Միշըն	m i ʃ ə n
միշտ	m i ʃ t
Միության	m i u tʰ j ɑ n
Միության	m i j u tʰ j ɑ n
Միություն	m i j u tʰ j u n
Միություն	m i u tʰ j u n
միությունը	m i j u tʰ j u n ə
միությունը	m i u tʰ j u n ə
միջադեպը	m i t͡ʃ ɑ d e p ə
Միջազգային	m i t͡ʃ ɑ z ɡ ɑ j i n
միջակայքի	m i t͡ʃ ɑ k ɑ j kʰ i
միջակայքում	m i t͡ʃ ɑ k ɑ j kʰ u m
միջամտություններից	m i t͡ʃ ɑ m ə t u tʰ j u n n e ɾ i t͡sʰ
Միջանկյալ	m i t͡ʃ ɑ ŋ k j ɑ l
միջանցք	m i t͡ʃ ɑ n t͡sʰ kʰ
միջավայր	m i t͡ʃ ɑ v ɑ j ɾ
միջավայրը	m i t͡ʃ ɑ v ɑ j ɾ ə
միջավայրի	m i t͡ʃ ɑ v ɑ j ɾ i
միջավայրին	m i t͡ʃ ɑ v ɑ j ɾ i n
միջավայրից	m i t͡ʃ ɑ v ɑ j ɾ i t͡sʰ
միջավայրն	m i t͡ʃ ɑ v ɑ j ɾ n
միջավայրում	m i t͡ʃ ɑ v ɑ j ɾ u m
Միջատ	m i t͡ʃ ɑ t
միջատաբանների	m i t͡ʃ ɑ t ɑ b ɑ n n e ɾ i
միջատներ	m i t͡ʃ ɑ t n e ɾ
միջատները	m i t͡ʃ ɑ t n e ɾ ə
Միջատների	m i t͡ʃ ɑ t n e ɾ i
Միջատներն	m i t͡ʃ ɑ t n e ɾ n
միջերկրածովյան	m i t͡ʃ e ɾ k ɾ ɑ t͡s o v j ɑ n
Միջերկրական	m i t͡ʃ e ɾ k ɾ ɑ k ɑ n
միջերկրյա	m i t͡ʃ e ɾ k ə ɾ j ɑ
միջերկրյա	m i t͡ʃ e ɾ k ɾ j ɑ
միջև	m i t͡ʃ e v
միջև	m i t͡ʃ e v
Միջին	m i t͡ʃ i n
միջլյարդային	m i t͡ʃ l j ɑ ɾ d ɑ j i n
միջնադար	m i t͡ʃ n ɑ d ɑ ɾ
միջնադարը	m i t͡ʃ n ɑ d ɑ ɾ ə
Միջնադարի	m i t͡ʃ n ɑ d ɑ ɾ i
միջնադարին	m i t͡ʃ n ɑ d ɑ ɾ i n
միջնադարյան	m i t͡ʃ n ɑ d ɑ ɾ j ɑ n
միջնամասում	m i t͡ʃ n ɑ m ɑ s u m
միջշրջանային	m i t͡ʃ ʃ ə ɾ d͡ʒ ɑ n ɑ j i n
միջով	m i t͡ʃ o v
միջով-	m i t͡ʃ o v
միջոց	m i t͡ʃ o t͡sʰ
միջոցառումը	m i t͡ʃ o t͡sʰ ɑ r u m ə
միջոցառումներ	m i t͡ʃ o t͡sʰ ɑ r u m n e ɾ
միջոցառումները	m i t͡ʃ o t͡sʰ ɑ r u m n e ɾ ə
միջոցառումների	m i t͡ʃ o t͡sʰ ɑ r u m n e ɾ i
միջոցառումներից	m i t͡ʃ o t͡sʰ ɑ r u m n e ɾ i t͡sʰ
միջոցի	m i t͡ʃ o t͡sʰ i
միջոցն	m i t͡ʃ o t͡sʰ n
միջոցներ	m i t͡ʃ o t͡sʰ n e ɾ
միջոցները	m i t͡ʃ o t͡sʰ n e ɾ ə
միջոցների	m i t͡ʃ o t͡sʰ n e ɾ i
միջոցով	m i t͡ʃ o t͡sʰ o v
միջուկային	m i t͡ʃ u k ɑ j i n
Միջուկը	m i t͡ʃ u k ə
միջուկից	m i t͡ʃ u k i t͡sʰ
միջուկներ	m i t͡ʃ u k n e ɾ
միջօրեականով	m i t͡ʃ o ɾ e ɑ k ɑ n o v
միս	m i s
միսը	m i s ə
Միսթր	m i s tʰ ə ɾ
Միսս	m i s s
Միսսուրի	m i s s u ɾ i
Միսսուրիի	m i s s u ɾ i i
Միստիկ	m i s t i k
միտումնավոր	m i t u m n ɑ v o ɾ
Միտչել	m i t t͡ʃʰ e l
միտված	m i t v ɑ t͡s
միրգ	m i ɾ kʰ
Միք	m i kʰ
Միքայել	m i kʰ ɑ j e l
մկներ	m ə k n e ɾ
մղեց	m ə ʁ e t͡sʰ
մղոն	m ə ʁ o n
մղոն	m ə ʁ o n
մղոնը	m ʁ o n ə
մղոնի	m ʁ o n i
մղոնից	m ʁ o n i t͡sʰ
մղոններ	m ʁ o n n e ɾ
մղոնների	m ʁ o n n e ɾ i
մղում	m ʁ u m
մղումից	m ʁ u m i t͡sʰ
մղվող	m ə ʁ v o ʁ
Մյուս	m j u s
մյուսը	m j u s ə
մյուսի	m j u s i
մյուսին	m j u s i n
Մյուսլյում	m j u s l j u m
Մյուսները	m j u s n e ɾ ə
մյուսների	m j u s n e ɾ i
մյուսներին	m j u s n e ɾ i n
մյուսներից	m j u s n e ɾ i t͡sʰ
մնալ	m ə n ɑ l
մնալով	m ə n ɑ l o v
մնալու	m ə n ɑ l u
մնան	m ə n ɑ n
մնաց	m ə n ɑ t͡sʰ
մնացած	m ə n ɑ t͡sʰ ɑ t͡s
մնացել	m ə n ɑ t͡sʰ e l
մնացին	m ə n ɑ t͡sʰ i n
մնացյալ	m ə n ɑ t͡sʰ j ɑ l
մնացորդներ	m ə n ɑ t͡sʰ o ɾ tʰ n e ɾ
մնացորդները	m ə n ɑ t͡sʰ o ɾ tʰ n e ɾ ə
մնացուկները	m ə n ɑ t͡sʰ u k n e ɾ ə
մնում	m ə n u m
մշակելու	m ə ʃ ɑ k e l u
մշակման	m ə ʃ ɑ k m ɑ n
մշակութային	m ə ʃ ɑ k u tʰ ɑ j i n
մշակումներ	m ə ʃ ɑ k u m n e ɾ
մշակույթ	m ə ʃ ɑ k u j tʰ
մշակույթը	m ə ʃ ɑ k u j tʰ ə
մշակույթի	m ə ʃ ɑ k u j tʰ i
մշակույթին	m ə ʃ ɑ k u j tʰ i n
մշակույթն	m ə ʃ ɑ k u j tʰ n
մշակույթները	m ə ʃ ɑ k u j tʰ n e ɾ ə
մշակույթներն	m ə ʃ ɑ k u j tʰ n e ɾ n
մշակույթով	m ə ʃ ɑ k u j tʰ o v
մշակվել	m ə ʃ ɑ k v e l
մշակվի	m ə ʃ ɑ k v i
մշակվող	m ə ʃ ɑ k v o ʁ
մշակվում	m ə ʃ ɑ k v u m
մշուշում	m ə ʃ u ʃ u m
մշտադիտարկում	m ə ʃ t ɑ d i t ɑ ɾ k u m
մշտական	m ə ʃ t ɑ k ɑ n
մշտապես	m ə ʃ t ɑ p e s
մոա	m o ɑ
մոդելավորման	m o d e l ɑ v o ɾ m ɑ n
մոդելի	m o d e l i
մոզազավրեր	m o z ɑ z ɑ v ɾ e ɾ
մոզազավրերից	m o z ɑ z ɑ v ɾ e ɾ i t͡sʰ
Մոզազավրը	m o z ɑ z ɑ v ɾ ə
Մոզամբիկի	m o z ɑ m b i k i
Մոլդովայի	m o l d o v ɑ j i
Մոլդովայում	m o l d o v ɑ j u m
Մոլդովան	m o l d o v ɑ n
մոլեգնություններից	m o l e ɡ n u tʰ j u n n e ɾ i t͡sʰ
մոլեկուլային	m o l e k u l ɑ j i n
մոլեկուլները	m o l e k u l n e ɾ ə
Մոլը	m o l ə
Մոլի	m o l i
մոլորակ	m o l o ɾ ɑ k
մոլորակային	m o l o ɾ ɑ k ɑ j i n
մոլորակը	m o l o ɾ ɑ k ə
մոլորակի	m o l o ɾ ɑ k i
մոլորակները	m o l o ɾ ɑ k n e ɾ ə
մոլորակների	m o l o ɾ ɑ k n e ɾ i
մոլուցք	m o l u t͡sʰ kʰ
մոծակների	m o t͡s ɑ k n e ɾ i
մոծակներից	m o t͡s ɑ k n e ɾ i t͡sʰ
Մոհենջո-դարո	m o h e n d͡ʒ o d ɑ ɾ o
մողեսներն	m o ʁ e s n e ɾ n
մոնտաժ	m o n t ɑ ʒ
Մոնտանան	m o n t ɑ n ɑ n
Մոնտեսումայի	m o n t e s u m ɑ j i
Մոնտեվիդեոն	m o n t e v i d e o n
Մոնտերոսո	m o n t e ɾ o s o
մոռացեք	m o r ɑ t͡sʰ e kʰ
Մոսակ	m o s ɑ k
մոտ	m o t
մոտալուտ	m o t ɑ l u t
մոտակա	m o t ɑ k ɑ
մոտակայքի	m o t ɑ k ɑ j kʰ i
մոտակայքում	m o t ɑ k ɑ j kʰ u m
մոտավոր	m o t ɑ v o ɾ
մոտավորապես	m o t ɑ v o ɾ ɑ p e s
մոտենալ	m o t e n ɑ l
մոտենաք	m o t e n ɑ kʰ
մոտենում	m o t e n u m
մոտեցման	m o t e t͡sʰ m ɑ n
մոտեցում	m o t e t͡sʰ u m
մոտեցումը	m o t e t͡sʰ u m ə
մոտեցումից	m o t e t͡sʰ u m i t͡sʰ
մոտեցումն	m o t e t͡sʰ u m n
մոտեցումները	m o t e t͡sʰ u m n e ɾ ə
մոտիկից	m o t i k i t͡sʰ
մոտոցիկլարշավի	m o t o t͡sʰ i k l ɑ ɾ ʃ ɑ v i
մոտոցիկլետ	m o t o t͡sʰ i k l e t
Մորակոտի	m o ɾ ɑ k o t i
մորը	m o ɾ ə
Մորիորի	m o ɾ i o ɾ i
մորիորիները	m o ɾ i o ɾ i n e ɾ ə
Մորիորիներից	m o ɾ i o ɾ i n e ɾ i t͡sʰ
մորուքներ	m o ɾ u kʰ n e ɾ
մորֆինի	m o ɾ f i n i
մուգ	m u kʰ
մութ	m u tʰ
մուլտֆիլմերը	m u l t f i l m e ɾ ə
Մուհամմադը	m u h ɑ m m ɑ d ə
Մուհամմադի	m u h ɑ m m ɑ d i
Մումբայի	m u m b ɑ j i
մումիաներին	m u m i j ɑ n e ɾ i n
Մուչանգան	m u t͡ʃʰ ɑ ŋ ɡ ɑ n
Մուսաշիին	m u s ɑ ʃ i i n
Մուսասի	m u s ɑ s i
Մուսկոկայի	m u s k o k ɑ j i
մուտացիայի	m u t ɑ t͡sʰ j ɑ j i
Մուտացիան	m u t ɑ t͡sʰ j ɑ n
Մուտացիաները	m u t ɑ t͡sʰ j ɑ n e ɾ ə
մուտք	m u t kʰ
մուտքային	m u t kʰ ɑ j i n
մուտքերը	m u t kʰ e ɾ ə
Մուտքը	m u t kʰ ə
մուտքի	m u t kʰ i
մուտքն	m u t kʰ n
մուրան	m u ɾ ɑ n
Մուրեյը	m u ɾ e j ə
Մուքսլո	m u kʰ s l o
մռայլ	m ə r ɑ j l
մռթմռթացող	m ə r tʰ m ə r tʰ ɑ t͡sʰ o ʁ
մռնչալ	m ə r ə n t͡ʃʰ ɑ l
մռնչյունը	m ə r ə n t͡ʃʰ j u n ə
մռնչյունին	m ə r ə n t͡ʃʰ j u n i n
մսի	m ə s i
մսով	m ə s o v
մտաբերել	m ə t ɑ b e ɾ e l
մտագոհ	m ə t ɑ ɡ o h
մտադիր	m ə t ɑ d i ɾ
մտադրության	m ə t ɑ d ɾ u tʰ j ɑ n
մտադրությունը	m ə t ɑ d ɾ u tʰ j u n ə
մտադրությունները	m ə t ɑ d ɾ u tʰ j u n n e ɾ ə
մտախաբություն	m ə t ɑ χ ɑ p u tʰ j u n
մտածել	m ə t ɑ t͡s e l
մտածելակերպ	m ə t ɑ t͡s e l ɑ k e ɾ p
մտածելակերպը	m ə t ɑ t͡s e l ɑ k e ɾ p ə
Մտածելակերպի	m ə t ɑ t͡s e l ɑ k e ɾ p i
մտածելու	m ə t ɑ t͡s e l u
Մտածեք	m ə t ɑ t͡s e kʰ
մտածող	m ə t ɑ t͡s o ʁ
մտածողություն	m ə t ɑ t͡s o ʁ u tʰ j u n
մտածում	m ə t ɑ t͡s u m
մտահոգություն	m ə t ɑ h o kʰ u tʰ j u n
մտահոգությունն	m ə t ɑ h o kʰ u tʰ j u n n
մտահոգություններ	m ə t ɑ h o kʰ u tʰ j u n n e ɾ
մտահոգությունների	m ə t ɑ h o kʰ u tʰ j u n n e ɾ i
մտահոգվում	m ə t ɑ h o kʰ v u m
մտան	m ə t ɑ n
մտապահելու	m ə t ɑ p ɑ h e l u
մտապատկերման	m ə t ɑ p ɑ t k e ɾ m ɑ n
մտապատկերումների	m ə t ɑ p ɑ t k e ɾ u m n e ɾ i
մտասևեռումներից	m ə t ɑ s e v e r u m n e ɾ i t͡sʰ
մտավախություն	m ə t ɑ v ɑ χ u tʰ j u n
մտավախություններն	m ə t ɑ v ɑ χ u tʰ j u n n e ɾ n
մտավոր	m ə t ɑ v o ɾ
մտել	m ə t e l
մտնել	m ə t n e l
մտնեն	m ə t n e n
մտնեք	m ə t n e kʰ
մտնող	m ə t n o ʁ
մտնում	m ə t n u m
մտորելով	m ə t o ɾ e l o v
մտորելու	m ə t o ɾ e l u
մտցնել	m ə t t͡sʰ n e l
մտքերը	m ə t kʰ e ɾ ə
մտքերն	m ə t kʰ e ɾ n
մտքի	m ə t kʰ i
մտքում	m ə t kʰ u m
մրգային	m ə ɾ kʰ ɑ j i n
մրգեր	m ə ɾ kʰ e ɾ
մրջյուններ	m ə ɾ t͡ʃʰ j u n n e ɾ
Մրջյունների	m ə ɾ t͡ʃʰ j u n n e ɾ i
մրրիկի	m ə ɾ ɾ i k i
մրրկային	m ə ɾ ɾ k ɑ j i n
մրցախաղերի	m ə ɾ t͡sʰ ɑ χ ɑ ʁ e ɾ i
մրցակից	m ə ɾ t͡sʰ ɑ k i t͡sʰ
մրցակիցներ	m ə ɾ t͡sʰ ɑ k i t͡sʰ n e ɾ
մրցակիցներին	m ə ɾ t͡sʰ ɑ k i t͡sʰ n e ɾ i n
մրցակիցներից	m ə ɾ t͡sʰ ɑ k i t͡sʰ n e ɾ i t͡sʰ
մրցակցային	m ə ɾ t͡sʰ ɑ k t͡sʰ ɑ j i n
մրցակցել	m ə ɾ t͡sʰ ɑ k t͡sʰ e l
մրցանակ	m ə ɾ t͡sʰ ɑ n ɑ k
մրցանակը	m ə ɾ t͡sʰ ɑ n ɑ k ə
մրցանակի	m ə ɾ t͡sʰ ɑ n ɑ k i
մրցաշավի	m ə ɾ t͡sʰ ɑ ʃ ɑ v i
մրցաշարեր	m ə ɾ t͡sʰ ɑ ʃ ɑ ɾ e ɾ
Մրցաշարերի	m ə ɾ t͡sʰ ɑ ʃ ɑ ɾ e ɾ i
մրցաշարը	m ə ɾ t͡sʰ ɑ ʃ ɑ ɾ ə
մրցաշարի	m ə ɾ t͡sʰ ɑ ʃ ɑ ɾ i
մրցաշրջանի	m ə ɾ t͡sʰ ɑ ʃ ə ɾ d͡ʒ ɑ n i
մրցապայքարում	m ə ɾ t͡sʰ ɑ p ɑ j kʰ ɑ ɾ u m
մրցավազքը	m ə ɾ t͡sʰ ɑ v ɑ z kʰ ə
մրցավազքի	m ə ɾ t͡sʰ ɑ v ɑ z kʰ i
մրցավազքին	m ə ɾ t͡sʰ ɑ v ɑ z kʰ i n
մրցավազքն	m ə ɾ t͡sʰ ɑ v ɑ z kʰ n
մրցավազքում	m ə ɾ t͡sʰ ɑ v ɑ z kʰ u m
մրցարշավ	m ə ɾ t͡sʰ ɑ ɾ ʃ ɑ v
մրցարշավն	m ə ɾ t͡sʰ ɑ ɾ ʃ ɑ v n
մրցելուց	m ə ɾ t͡sʰ e l u t͡sʰ
մրցությունում	m ə ɾ t͡sʰ u tʰ j u n u m
մրցում	m ə ɾ t͡sʰ u m
մրցումներ	m ə ɾ t͡sʰ u m n e ɾ
յագուարները	j ɑ ɡ u ɑ ɾ n e ɾ ə
Յասովարման	j ɑ s o v ɑ ɾ m ɑ n
յարդ	j ɑ ɾ d
Յարմութում	j ɑ ɾ m u tʰ u m
յոգայի	j o ɡ ɑ j i
յոգայից	j o ɡ ɑ j i t͡sʰ
յոգայում	j o ɡ ɑ j u m
յոգան	j o ɡ ɑ n
յոգուրտ	j o ɡ u ɾ t
յոդ	j o d
յոթ	j o tʰ
յոթանասուն	j o tʰ ɑ n ɑ s u n
Յոթերորդ	j o tʰ e ɾ o ɾ tʰ
Յոխեմսենի	j o χ e m s e n i
Յոհանեսբուրգի	j o h ɑ n e s b u ɾ ɡ i
Յոսեմիտ	j o s e m i t
Յորք	j o ɾ kʰ
Յորքի	j o ɾ kʰ i
Յորքում	j o ɾ kʰ u m
Յու	j u
Յուանի	j u ɑ n i
ՅՈՒՆԵՍԿՕ-ի	j u n e s k o i
Յուտա-	j u t ɑ
Յուտայի	j u t ɑ j i
յուտացի	j u t ɑ t͡sʰ i
յուրահատուկ	j u ɾ ɑ h ɑ t u k
յուրատեսակ	j u ɾ ɑ t e s ɑ k
յուրացնելուց	j u ɾ ɑ t͡sʰ n e l u t͡sʰ
յուրացվել	j u ɾ ɑ t͡sʰ v e l
Յուրաքանչյուր	j u ɾ ɑ kʰ ɑ n t͡ʃʰ j u ɾ
յուրաքանչյուրը	j u ɾ ɑ kʰ ɑ n t͡ʃʰ j u ɾ ə
յուրաքանչյուրի	j u ɾ ɑ kʰ ɑ n t͡ʃʰ j u ɾ i
յուրաքանչյուրին	j u ɾ ɑ kʰ ɑ n t͡ʃʰ j u ɾ i n
յուրաքանչյուրն	j u ɾ ɑ kʰ ɑ n t͡ʃʰ j u ɾ n
յուրօրինակ	j u ɾ o ɾ i n ɑ k
նա	n ɑ
Նագասակի	n ɑ ɡ ɑ s ɑ k i
Նադալը	n ɑ d ɑ l ə
Նադալի	n ɑ d ɑ l i
Նադյան	n ɑ d j ɑ n
նաև	n ɑ j e v
նաև	n ɑ j e v
նախ	n ɑ χ
նախաբան	n ɑ χ ɑ b ɑ n
նախագահ	n ɑ χ ɑ ɡ ɑ h
նախագահական	n ɑ χ ɑ ɡ ɑ h ɑ k ɑ n
նախագահը	n ɑ χ ɑ ɡ ɑ h ə
Նախագահի	n ɑ χ ɑ ɡ ɑ h i
նախագահն	n ɑ χ ɑ ɡ ɑ h n
նախագավիթ	n ɑ χ ɑ ɡ ɑ v i tʰ
նախագծելու	n ɑ χ ɑ ɡ ə t͡s e l u
նախագծի	n ɑ χ ɑ ɡ ə t͡s i
նախագծմանը	n ɑ χ ɑ ɡ ə t͡s m ɑ n ə
նախագծմանն	n ɑ χ ɑ ɡ ə t͡s m ɑ n n
նախագծվում	n ɑ χ ɑ ɡ ə t͡s v u m
նախադասության	n ɑ χ ɑ d ɑ s u tʰ j ɑ n
նախադասությունը	n ɑ χ ɑ d ɑ s u tʰ j u n ə
նախադասություններ	n ɑ χ ɑ d ɑ s u tʰ j u n n e ɾ
նախադպրոցական	n ɑ χ ɑ d ə p ɾ o t͡sʰ ɑ k ɑ n
նախազգուշական	n ɑ χ ɑ z ɡ u ʃ ɑ k ɑ n
նախազգուշացման	n ɑ χ ɑ z ɡ u ʃ ɑ t͡sʰ m ɑ n
նախազգուշացում	n ɑ χ ɑ z ɡ u ʃ ɑ t͡sʰ u m
նախազգուշացումը	n ɑ χ ɑ z ɡ u ʃ ɑ t͡sʰ u m ə
նախազգուշացրել	n ɑ χ ɑ z ɡ u ʃ ɑ t͡sʰ ɾ e l
Նախաժամանակակից	n ɑ χ ɑ ʒ ɑ m ɑ n ɑ k ɑ k i t͡sʰ
նախահայրերի	n ɑ χ ɑ h ɑ j ɾ e ɾ i
նախաձեռնելով	n ɑ χ ɑ d͡z e r n e l o v
նախաձեռնություն	n ɑ χ ɑ d͡z e r n u tʰ j u n
նախաձեռնությունը	n ɑ χ ɑ d͡z e r n u tʰ j u n ə
նախաճաշ	n ɑ χ ɑ t͡ʃ ɑ ʃ
Նախաճաշը	n ɑ χ ɑ t͡ʃ ɑ ʃ ə
նախաճաշի	n ɑ χ ɑ t͡ʃ ɑ ʃ i
նախամրցաշրջանային	n ɑ χ ɑ m ə ɾ t͡sʰ ɑ ʃ ə ɾ d͡ʒ ɑ n ɑ j i n
նախաշեմին	n ɑ χ ɑ ʃ e m i n
նախապաշարմունքային	n ɑ χ ɑ p ɑ ʃ ɑ ɾ m u ŋ kʰ ɑ j i n
նախապատրաստվելու	n ɑ χ ɑ p ɑ t ɾ ɑ s t v e l u
Նախապես	n ɑ χ ɑ p e s
Նախավարժանքի	n ɑ χ ɑ v ɑ ɾ ʒ ɑ ŋ kʰ i
Նախավիրահատական	n ɑ χ ɑ v i ɾ ɑ h ɑ t ɑ k ɑ n
նախատեսում	n ɑ χ ɑ t e s u m
նախատեսված	n ɑ χ ɑ t e s v ɑ t͡s
նախատեսվող	n ɑ χ ɑ t e s v o ʁ
նախատեսվում	n ɑ χ ɑ t e s v u m
նախատիպերն	n ɑ χ ɑ t i p e ɾ n
նախարար	n ɑ χ ɑ ɾ ɑ ɾ
նախարարը	n ɑ χ ɑ ɾ ɑ ɾ ə
նախարարի	n ɑ χ ɑ ɾ ɑ ɾ i
նախարարության	n ɑ χ ɑ ɾ ɑ ɾ u tʰ j ɑ n
Նախարարությունը	n ɑ χ ɑ ɾ ɑ ɾ u tʰ j u n ə
նախարարությունն	n ɑ χ ɑ ɾ ɑ ɾ u tʰ j u n n
նախաքրիստոնեական	n ɑ χ ɑ kʰ ɾ i s t o n e ɑ k ɑ n
նախևառաջ	n ɑ χ e v ɑ r ɑ t͡ʃʰ
նախընտրելի	n ɑ χ ə n t ɾ e l i
նախընտրությամբ	n ɑ χ ə n t ɾ u tʰ j ɑ m b
նախընտրում	n ɑ χ ə n t ɾ u m
նախկին	n ɑ χ k i n
նախկինի	n ɑ χ k i n i
Նախկինում	n ɑ χ k i n u m
նախնական	n ɑ χ n ɑ k ɑ n
նախնիները	n ɑ χ n i n e ɾ ə
նախնիների	n ɑ χ n i n e ɾ i
նախնիներն	n ɑ χ n i n e ɾ n
նախորդ	n ɑ χ o ɾ tʰ
նախորդել	n ɑ χ o ɾ tʰ e l
նախորդներինը	n ɑ χ o ɾ tʰ n e ɾ i n ə
նախորդող	n ɑ χ o ɾ tʰ o ʁ
նախքան	n ɑ χ kʰ ɑ n
նախօրեին	n ɑ χ o ɾ e i n
նահանգային	n ɑ h ɑ ŋ ɡ ɑ j i n
նահանգապետ	n ɑ h ɑ ŋ ɡ ɑ p e t
նահանգապետի	n ɑ h ɑ ŋ ɡ ɑ p e t i
նահանգի	n ɑ h ɑ ŋ ɡ i
նահանգից	n ɑ h ɑ ŋ ɡ i t͡sʰ
Նահանգներ	n ɑ h ɑ ŋ ɡ n e ɾ
Նահանգները	n ɑ h ɑ ŋ ɡ n e ɾ ə
Նահանգների	n ɑ h ɑ ŋ ɡ n e ɾ i
Նահանգներին	n ɑ h ɑ ŋ ɡ n e ɾ i n
Նահանգներինից	n ɑ h ɑ ŋ ɡ n e ɾ i n i t͡sʰ
Նահանգներից	n ɑ h ɑ ŋ ɡ n e ɾ i t͡sʰ
Նահանգներում	n ɑ h ɑ ŋ ɡ n e ɾ u m
նահանգում	n ɑ h ɑ ŋ ɡ u m
նահանջելն	n ɑ h ɑ n d͡ʒ e l n
նամակ	n ɑ m ɑ k
նամականիշը	n ɑ m ɑ k ɑ n i ʃ ə
նամականիշից	n ɑ m ɑ k ɑ n i ʃ i t͡sʰ
նամակը	n ɑ m ɑ k ə
նամակներ	n ɑ m ɑ k n e ɾ
նամանտիպ	n ɑ m ɑ n t i p
Նամգյալի	n ɑ m ɡ j ɑ l i
Նամգյելը	n ɑ m ɡ j e l ə
Նամիբիայի	n ɑ m i b j ɑ j i
նայել	n ɑ j e l
նայելիս	n ɑ j e l i s
Նայեք	n ɑ j e kʰ
նայող	n ɑ j o ʁ
նայում	n ɑ j u m
Նայրոբիում	n ɑ j ɾ o b i u m
Նանակի	n ɑ n ɑ k i
Նապոլեոնի	n ɑ p o l e o n i
Նապոլեոնի	n ɑ p o l j o n i
ՆԱՍԱ-ի	n ɑ s ɑ j i
Նասսարի	n ɑ s s ɑ ɾ i
նավ	n ɑ v
նավախցիկի	n ɑ v ɑ χ ə t͡sʰ i k i
նավակները	n ɑ v ɑ k n e ɾ ə
նավակով	n ɑ v ɑ k o v
նավակով	n ɑ v ɑ k o v
նավակում	n ɑ v ɑ k u m
նավահանգիստ	n ɑ v ɑ h ɑ ŋ ɡ i s t
նավահանգիստը	n ɑ v ɑ h ɑ ŋ ɡ i s t ə
նավահանգիստների	n ɑ v ɑ h ɑ ŋ ɡ i s t n e ɾ i
նավահանգստի	n ɑ v ɑ h ɑ ŋ ɡ ə s t i
նավահանգստին	n ɑ v ɑ h ɑ ŋ ɡ ə s t i n
նավային	n ɑ v ɑ j i n
նավանորոգարաններում	n ɑ v ɑ n o ɾ o kʰ ɑ ɾ ɑ n n e ɾ u m
նավաստիները	n ɑ v ɑ s t i n e ɾ ə
նավաստիների	n ɑ v ɑ s t i n e ɾ i
նավատորմ	n ɑ v ɑ t o ɾ m
նավատորմը	n ɑ v ɑ t o ɾ m ə
նավատորմի	n ɑ v ɑ t o ɾ m i
նավատորմին	n ɑ v ɑ t o ɾ m i n
նավատորմով	n ɑ v ɑ t o ɾ m o v
նավարկել	n ɑ v ɑ ɾ k e l
նավարկելը	n ɑ v ɑ ɾ k e l ə
Նավարկության	n ɑ v ɑ ɾ k u tʰ j ɑ n
նավարկությունը	n ɑ v ɑ ɾ k u tʰ j u n ə
նավարկություններ	n ɑ v ɑ ɾ k u tʰ j u n n e ɾ
նավարկում	n ɑ v ɑ ɾ k u m
նավեր	n ɑ v e ɾ
նավերը	n ɑ v e ɾ ə
նավերի	n ɑ v e ɾ i
նավերին	n ɑ v e ɾ i n
նավերից	n ɑ v e ɾ i t͡sʰ
նավը	n ɑ v ə
նավթ	n ɑ f tʰ
նավթարդյունաբերությունում	n ɑ v tʰ ɑ ɾ tʰ j u n ɑ b e ɾ u tʰ j u n u m
նավթը	n ɑ v tʰ ə
նավթի	n ɑ v tʰ i
նավի	n ɑ v i
նավիգացիայի	n ɑ v i ɡ ɑ t͡sʰ j ɑ j i
նավն	n ɑ v n
նավով	n ɑ v o v
նարգիլեներ	n ɑ ɾ ɡ i l e n e ɾ
նացիստների	n ɑ t͡sʰ i s t n e ɾ i
Նեկրոպոլիսը	n e k ɾ o p o l i s ə
նեղ	n e ʁ
նեղանալու	n e ʁ ɑ n ɑ l u
նեղացնում	n e ʁ ɑ t͡sʰ n u m
նեղուցով	n e ʁ u t͡sʰ o v
